T (s),RSU Intended-Tx,RSU-BTx-Car,RSU-PSR (%),Car P-Received,Car-PDR (%),RSU PDSR (%),Car Received power (dBm),CAR Intended-Tx,Car-Btx-RSU,RSU P-Received,RSU-PDR (%),RSU Received power (dBm),,,Car2 Rx,Car3 Rx,Car4 Rx,Car5 Rx,Car6 Rx,Car7 Rx,Car8 Rx,Car9 Rx,Car10 Rx,Car11 Rx,Car12 Rx,Car13 Rx,Car14 Rx,Car15 Rx,Car16 Rx,Car17 Rx,Car18 Rx,Car19 Rx,Car20 Rx,Car21 Rx,Car22 Rx,Car23 Rx,Car24 Rx,Car25 Rx,Car26 Rx,Car27 Rx,Car28 Rx,Car29 Rx,Car30 Rx,Car31 Rx,Car32 Rx,Car33 Rx,Car34 Rx,Car35 Rx,Car36 Rx,Car37 Rx,Car38 Rx,Car39 Rx,Car40 Rx,Car41 Rx,Car42 Rx,Car43 Rx,Car44 Rx,Car45 Rx,Car46 Rx,Car47 Rx,Car48 Rx,Car49 Rx,Car50 Rx,Car51 Rx,Car52 Rx,Car53 Rx,Car54 Rx,Car55 Rx,Car56 Rx,Car57 Rx,Car58 Rx,Car59 Rx,Car60 Rx,Car61 Rx,Car62 Rx,Car63 Rx,Car64 Rx,Car65 Rx,Car66 Rx,Car67 Rx,Car68 Rx,Car69 Rx,Car70 Rx,Car71 Rx,Car72 Rx,Car73 Rx,Car74 Rx,Car75 Rx,Car76 Rx,Car77 Rx,Car78 Rx,Car79 Rx,Car80 Rx,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,jammer 
11,10,6,60,1,16.67,38,-42.83059045,10,10,1,10,-43.457981,,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,610,604,598,592,586,580,574,568,562,556,550,544,538,532,526,520,514,508,502,496,490,484,478,472,466,460,454,448,442,436,430,424,418,412,406,400,394,388,382,376,370,364,358,352,346,340,334,328,322,316,310,304,298,292,286,280,274,268,262,256,250,244,238,232,226,220,214,208,202,196,190,184,178,172,166,160,154,148,142,136,336
12,10,5,50,1,20.00,35,-39.23849505,10,10,1,10,-41.9547779,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,623,617,611,605,599,593,587,581,575,569,563,557,551,545,539,533,527,521,515,509,503,497,491,485,479,473,467,461,455,449,443,437,431,425,419,413,407,401,395,389,383,377,371,365,359,353,347,341,335,329,323,317,311,305,299,293,287,281,275,269,263,257,251,245,239,233,227,221,215,209,203,197,191,185,179,173,167,161,155,149,369
13,10,5,50,1,20.00,35,-39.38076585,10,10,0,0,-39.986637,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,636,630,624,618,612,606,600,594,588,582,576,570,564,558,552,546,540,534,528,522,516,510,504,498,492,486,480,474,468,462,456,450,444,438,432,426,420,414,408,402,396,390,384,378,372,366,360,354,348,342,336,330,324,318,312,306,300,294,288,282,276,270,264,258,252,246,240,234,228,222,216,210,204,198,192,186,180,174,168,162,402
14,10,3,30,0,0.00,15,-35.40202535,10,10,0,0,-33.4328806,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,649,643,637,631,625,619,613,607,601,595,589,583,577,571,565,559,553,547,541,535,529,523,517,511,505,499,493,487,481,475,469,463,457,451,445,439,433,427,421,415,409,403,397,391,385,379,373,367,361,355,349,343,337,331,325,319,313,307,301,295,289,283,277,271,265,259,253,247,241,235,229,223,217,211,205,199,193,187,181,175,435
15,10,4,40,0,0.00,20,-33.6319314,10,10,0,0,-36.0253662,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,662,656,650,644,638,632,626,620,614,608,602,596,590,584,578,572,566,560,554,548,542,536,530,524,518,512,506,500,494,488,482,476,470,464,458,452,446,440,434,428,422,416,410,404,398,392,386,380,374,368,362,356,350,344,338,332,326,320,314,308,302,296,290,284,278,272,266,260,254,248,242,236,230,224,218,212,206,200,194,188,468
16,10,5,50,0,0.00,25,-28.2437669,10,10,0,0,-33.8799691,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,675,669,663,657,651,645,639,633,627,621,615,609,603,597,591,585,579,573,567,561,555,549,543,537,531,525,519,513,507,501,495,489,483,477,471,465,459,453,447,441,435,429,423,417,411,405,399,393,387,381,375,369,363,357,351,345,339,333,327,321,315,309,303,297,291,285,279,273,267,261,255,249,243,237,231,225,219,213,207,201,501
17,10,5,50,0,0.00,25,-26.2267022,10,10,0,0,-27.4996413,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,688,682,676,670,664,658,652,646,640,634,628,622,616,610,604,598,592,586,580,574,568,562,556,550,544,538,532,526,520,514,508,502,496,490,484,478,472,466,460,454,448,442,436,430,424,418,412,406,400,394,388,382,376,370,364,358,352,346,340,334,328,322,316,310,304,298,292,286,280,274,268,262,256,250,244,238,232,226,220,214,534
18,10,6,60,0,0.00,30,-17.60498755,10,10,0,0,-23.7573665,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,701,695,689,683,677,671,665,659,653,647,641,635,629,623,617,611,605,599,593,587,581,575,569,563,557,551,545,539,533,527,521,515,509,503,497,491,485,479,473,467,461,455,449,443,437,431,425,419,413,407,401,395,389,383,377,371,365,359,353,347,341,335,329,323,317,311,305,299,293,287,281,275,269,263,257,251,245,239,233,227,567
19,10,4,40,0,0.00,20,-19.47924575,10,10,0,0,-17.8312453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,714,708,702,696,690,684,678,672,666,660,654,648,642,636,630,624,618,612,606,600,594,588,582,576,570,564,558,552,546,540,534,528,522,516,510,504,498,492,486,480,474,468,462,456,450,444,438,432,426,420,414,408,402,396,390,384,378,372,366,360,354,348,342,336,330,324,318,312,306,300,294,288,282,276,270,264,258,252,246,240,600
20,10,6,60,0,0.00,30,-20.5946373,10,10,0,0,-19.2391817,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,727,721,715,709,703,697,691,685,679,673,667,661,655,649,643,637,631,625,619,613,607,601,595,589,583,577,571,565,559,553,547,541,535,529,523,517,511,505,499,493,487,481,475,469,463,457,451,445,439,433,427,421,415,409,403,397,391,385,379,373,367,361,355,349,343,337,331,325,319,313,307,301,295,289,283,277,271,265,259,253,633
